"id_str","created_at","source","lang","place","geo","text","is_retweet","is_reply","hashtags","media","user_screen_name","user_time_zone","user_followers_count","user_location","user_statuses_count","user_friends_count","user_profile_background_color","user_created_at","user_is_verified"
"ID_746384753322975236","Fri Jun 24 16:49:27 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @rsolonhamer: And the #BrexitVote is also going to weaken global action on man-made climate change. Gee, thanks a lot, U.K.! https://t.c…",True,False,"brexitvote","","ConvoHelps","Pacific Time (US & Canada)",4,"Washington, DC",83,27,"000000","Sat Jul 25 04:03:54 +0000 2015",False
"ID_746401569734819841","Fri Jun 24 17:56:16 +0000 2016","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","en","","","RT @trevormarr1: Do your due diligence, listen and watch all videos to broaden your mind FOR YOUR KIDS!  https://t.co/hmY9x0GOy6  We r SICK…",True,False,"","","LyndaE222","",557,"",79730,69,"C0DEED","Thu Jul 12 23:15:11 +0000 2012",False
"ID_746420073116504065","Fri Jun 24 19:09:47 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @EcoWatch: The Link Between Climate Change and Drought https://t.co/kgFQv5hfSC @ClimateReality @algore @pewresearch @ClimateNexus @350",True,False,"","","BlondeBomb25","Mountain Time (US & Canada)",307,"Colorado",23094,317,"80F2EC","Sun Mar 06 20:51:39 +0000 2011",False
"ID_746423980563652608","Fri Jun 24 19:25:19 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @JohnFromCranber: My View: Trying to Surrender USA Sovereignty to The UN = Treason. RE: TPP, Climate Chg Deal, Open Border #Globalism ht…",True,False,"globalism","photo","NeonVoxel","Pacific Time (US & Canada)",534,"Location: near your coat.",17206,836,"C0DEED","Thu Aug 09 20:28:05 +0000 2012",False
"ID_746461173898371072","Fri Jun 24 21:53:07 +0000 2016","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","en","","","U.S. states, Rockefellers clash with House panel on Exxon climate probes: HOUSTON (Reuters) - With many U.S. ... https://t.co/zoj1POaDxj",False,False,"","","cavsbestteam","Copenhagen",822,"",174401,236,"ACDED6","Sat Sep 10 03:28:50 +0000 2011",False
"ID_746487765689339908","Fri Jun 24 23:38:47 +0000 2016","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","en","","","RT Climate Cop: #Climate https://t.co/Y0NJurELJN … The Heartland Institute's Fifth International Conference on Clim… https://t.co/sceVEUZ3Hm",False,False,"climate","","ClimateRetweet","",2807,"",385452,3,"C0DEED","Wed May 20 10:47:00 +0000 2015",False
"ID_746508731614113792","Sat Jun 25 01:02:05 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @TorraineWalker: THIS. 👇 RIGHT. 👇 HERE. 👇 https://t.co/dtQQUtkYq0",True,False,"","","AnonBruja","",2502,"Narnia",84954,3115,"C0DEED","Fri Oct 18 22:39:04 +0000 2013",False
"ID_746538648754020352","Sat Jun 25 03:00:58 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @blairpalese: Pacific community &amp; Australians call for #ClimateAction @TurnbullMalcolm! #standupforthepacific https://t.co/1dbwPUaO3A",True,False,"climateaction|standupforthepacific","photo","fentonlutun","Hawaii",1952,"Fiji",12032,786,"1A1B1F","Tue Apr 12 22:11:06 +0000 2011",False
"ID_746618542443892736","Sat Jun 25 08:18:26 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @SoaringRhetoric: The media will not warn us of the danger of climate change. At this late juncture #DemPlatform could seal our fate. ht…",True,False,"demplatform","","trailteam13","",211,"",8063,191,"C0DEED","Wed Aug 13 15:12:06 +0000 2014",False
"ID_746622189575667712","Sat Jun 25 08:32:56 +0000 2016","<a href=""http://mesonet.agron.iastate.edu/projects/iembot/"" rel=""nofollow"">iembot</a>","en","","","MERCED CA Jun 24 Climate: Hi: 91 Lo: 58 Precip: 0.0 Snow: 0.0 https://t.co/YtFsEwNXuF",False,False,"","","iembot_hnx","Central Time (US & Canada)",19,"Hanford, CA",32700,0,"C0DEED","Fri Apr 24 14:33:11 +0000 2009",False
"ID_746649693623586816","Sat Jun 25 10:22:13 +0000 2016","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","en","","","RT Climate Change agent: Edlin Patterson: Climate change, individual responsibility - The Union of Grass Valley #c… https://t.co/sbO8JhOIJG",False,False,"c","","ClimateRetweet","",2814,"",385801,3,"C0DEED","Wed May 20 10:47:00 +0000 2015",False
"ID_746657619813687296","Sat Jun 25 10:53:43 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @WorldBank: Infographic: Forests Slow #ClimateChange and Increase Resilience https://t.co/LLkEb31SLk",True,False,"climatechange","photo","BroderickUNRC","",313,"Jakarta Capital Region",481,127,"C0DEED","Wed Sep 30 01:58:50 +0000 2015",False
"ID_746661137521901569","Sat Jun 25 11:07:42 +0000 2016","<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","en","","","UK votes to leave EU, fears grow for climate ambition: Six questions for UK and EU low carbon ambitions as British… https://t.co/EVTJnfpTOh",False,False,"","","CLMTBerkeley","",95,"Berkeley, CA",4775,142,"C0DEED","Fri Dec 04 13:57:54 +0000 2015",False
"ID_746676509562273792","Sat Jun 25 12:08:47 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @sandyheart7: Climate change is the biggest threat to our environment, to our earth. Lets contribute to overcome this threat. https://t…",True,False,"","","mcfarling623","",0,"",7,2,"F5F8FA","Sat Jun 25 12:03:00 +0000 2016",False
"ID_746689228956909568","Sat Jun 25 12:59:19 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @semodu_pr: It is to be hoped that #mankind, through #climatechange, will not lie on the ground. https://t.co/McJz58NZhT",True,False,"climatechange|mankind","photo","RealEstateMUgas","",54,"Iowa",2400,574,"BADFCD","Sat May 02 16:58:53 +0000 2015",False
"ID_746706885697478656","Sat Jun 25 14:09:29 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","Checkout: https://t.co/k9dVY6TIIu",False,False,"","","kuzbro","Quito",124,"Campbellsville, KY",3186,496,"352726","Fri Mar 06 03:48:37 +0000 2009",False
"ID_746737722476343296","Sat Jun 25 16:12:01 +0000 2016","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","en","","","Climate Change Deniers Practice McCarthyism to Preserve Non-Existent “First Amendment” Right for Fortune 500 Co.s https://t.co/08pkFEQn5k",False,False,"","","BORDC","Eastern Time (US & Canada)",2604,"Communities across the USA",6890,978,"EBEBEB","Mon Feb 23 20:14:35 +0000 2009",False
"ID_746748716111978496","Sat Jun 25 16:55:42 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @DrJillStein: Staying true to their donors, Corporate Dems rejected Sanders' DNC platform proposals on minimum wage, trade, climate chan…",True,False,"","","MissBlytheD","Pacific Time (US & Canada)",60,"San Diego, CA",1585,107,"000000","Wed Jun 24 00:43:03 +0000 2015",False
"ID_746766878345990144","Sat Jun 25 18:07:52 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","RT @sandyheart7: Climate change is the biggest threat to our environment, to our earth. Lets contribute to overcome this threat. https://t…",True,False,"","","Leffler2639","",1,"",20,103,"F5F8FA","Sat Jun 25 16:55:52 +0000 2016",False
"ID_746807047660908546","Sat Jun 25 20:47:29 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @cowards_are_us: @realDonaldTrump will just continue 2 get buried in his own shit! @GOP RU afraid 2 lose bigots' votes? #nevertrump http…",True,False,"nevertrump","","RESJR_2016","",1953,"Death Valley,USA,PointsUnknown",77600,2385,"F5F8FA","Tue Jan 12 23:22:23 +0000 2016",False
"ID_746820552526966785","Sat Jun 25 21:41:09 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","Malcolm Turnbull is conning Australia into accepting Abbott's right wing agenda #ausvotes#MarriageEquality #climatechange #inequality",False,False,"ausvotes|climatechange|inequality|marriageequality","","Jim_Pembroke","Brisbane",2278,"Brisbane ",11822,2035,"000000","Sat Jun 09 21:47:06 +0000 2012",False
"ID_746831679273132032","Sat Jun 25 22:25:22 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","@nick_fleitas they do have bigger problems to worry about but he openly said that climate change is a hoax and that is a lie",False,True,"","","jmargolesky01","",15,"Kendall, FL",23,44,"F5F8FA","Tue Dec 15 21:24:47 +0000 2015",False
"ID_746879326080012288","Sun Jun 26 01:34:42 +0000 2016","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","en","","","RT @GreenpeaceAP: Word! #climate fizzy https://t.co/Rl9GKC95YI",True,False,"climate","photo","kif_inti_mary","Hawaii",641,"A village in Gozo",48131,451,"C0DEED","Fri Feb 11 08:53:55 +0000 2011",False
"ID_746910996237791233","Sun Jun 26 03:40:33 +0000 2016","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","en","","","CHADRON NE AIRPORT Jun 25 Climate Report: High: 88 Low: 60 Precip: 0.0 Snow: M  https://t.co/lJNWHal4gp #WX",False,False,"wx","","WxBotUSA","Eastern Time (US & Canada)",612,"United States",1227575,419,"C0DEED","Thu Sep 05 16:36:40 +0000 2013",False
"ID_746914688210976768","Sun Jun 26 03:55:13 +0000 2016","<a href=""https://app.rignite.com"" rel=""nofollow"">Rignite</a>","en","","","7,100 cities from 119 countries sign world’s largest alliance to curb climate cange https://t.co/l7fmen1oz8",False,False,"","","anonymous5595","",25639,"",76438,9760,"C0DEED","Tue Feb 25 21:49:51 +0000 2014",False
